client_id;client_nom;client_ville;etat_id;pays_id
200001;MATERIALS I TECNOLOGIA PER A LA CONSTRUCCIO, S.A.;SANT JULIA DE LORIA ;;20
200002;MATERIALS PER A L'EDIFICACIO, S.A.;SANTA COLOMA ;;20
200003;V & A ASSOCIATS, S.A.;ANDORRA LA VELLA ;;20
200004;S.A.P.Y.M.;ESCALDES ;;20
200005;DESTILLERIES ANDORRA DE A HUGUET I FILLS, S.L.;ANDORRA LA VELLA ;;20
200006;A&M, S.L.;ENCAMP ;;20
200007;ANDOCARS GARATGE INTERNATIONAL, S.A.;ANDORRA LA VELLA ;;20
200008;DISTRIBUCIO ANDORRANA PERFUM ESTETIC COSMETIC, S.A.;ENCAMP ;;20
2500001;Renault Trucks;SAINT-PRIEST;;250
2500002;MERIAL;SAINT-PRIEST;;250
2500003;Gattefossé Holding ;SAINT-PRIEST;;250
2500004;Schneider Electric ;SAINT-PRIEST;;250
2500005;FLUNCH;SAINT-PRIEST;;250
2500006;AUCHAN;SAINT-PRIEST;;250
2500007;BOULANGER;SAINT-PRIEST;;250
2500008;NORAUTO;SAINT-PRIEST;;250
2500009;LEROY-MERLIN;SAINT-PRIEST;;250
2500010;MONTABERT;SAINT-PRIEST;;250
2500011;Cegelec ;SAINT-PRIEST;;250
2500012;Abel ;SAINT-PRIEST;;250
2500013;Dubois Matériaux;SAINT-PRIEST;;250
2500014;Castel Frères+B163;SAINT-PRIEST;;250
2500015;AGC Flat Glass;SAINT-PRIEST;;250
2500016;Coiro entreprise;SAINT-PRIEST;;250
2500017;JC Decaux Services;SAINT-PRIEST;;250
2500018;IKEA;MASSY;;250
2500019;AREVA;MARSEILLE;;250
2500020;AREVA;TOULOUSE;;250
2500021;AIRBUS INDUSTRIE;TOULOUSE;;250
2500022;GENESYS ;MONTPELLIER;;250
2500023;ROYAL CANIN;LUNEL;;250
2500024;NICOLLIN;LYON;;250
2500025;GLAXO;LYON;;250
2500026;PFIZER;PARIS;;250
2500027;DANONE;GRENOBLE;;250
2500028;GLAXO;MARNES LA COQUETTE;;250
2500029;PANZANI;MARSEILLE;;250
2500030;DIM;ORLEANS;;250
2500031;SEPHORA;ORLEANS;;250
2500032;L'Oreal R&A;SAINT-DENIS;;250
2500033;TOTAL;NANTERRE;;250
2500034;EDF;PARIS;;250
2500035;LA BANQUE POSTALE;ORLEANS;;250
2500036;LA BANQUE POSTALE;MARSEILLE;;250
2500037;CREDIT DU NORD;LILLE;;250
2500038;GROUPAMA SUD;MONTPELLIER;;250
2500039;DASSAULT AVIATION;PESSAC;;250
2500040;CDISCOUNT;BLANQUEFORT;;250
2500041;HACHETTE Edition;PARIS;;250
2500042;VIRGIN France;PARIS;;250
2500043;HSBC;PARIS;;250
2760001;A.ta Bau GmbH;NURNBERG ;;276
2760002;Melvin E. Holloway `Club Nashville` GmbH;STEIN ;;276
2760003;AH Antenne Horfunk-Sender GmbH & Co. KG;HALLE ;;276
2760004;allcop 0. Wiest Geschaftsfuhrungs-G.m.b.H.;LINDENBERG ;;276
2760005;0. Dold Speditions- u. Transport GmbH;BUCHENBACH ;;276
2760006;A 2010 Consultants Gesellschaft fur Unternehmens u. Kommuni;BOCHUM ;;276
2760007;A 45 music GmbH;SINN ;;276
