Devise;Année ;Mois;Taux
USD;2002;1;0.88329
USD;2002;2;0.87004
USD;2002;3;0.8758
USD;2002;4;0.9
USD;2002;5;0.917
USD;2002;6;0.95544
USD;2002;7;0.99218
USD;2002;8;0.97776
USD;2002;8;0.88584
USD;2002;9;0.98078
USD;2002;10;0.98111
USD;2002;11;1.00136
USD;2002;12;1.01826
USD;2003;1;1.06219
USD;2003;2;1.0773
USD;2003;3;1.08065
USD;2003;4;1.154
USD;2003;5;1.15818
USD;2003;6;1.16628
USD;2003;7;1.13718
USD;2003;8;1.11387
USD;2003;8;1.08476
USD;2003;9;1.12217
USD;2003;10;1.16919
USD;2003;11;1.1702
USD;2003;12;1.22856
USD;2004;1;1.26132
USD;2004;2;1.26465
USD;2004;3;1.22617
USD;2004;4;1.21
USD;2004;5;1.20072
USD;2004;6;1.21383
USD;2004;7;1.22659
USD;2004;8;1.21747
USD;2004;8;1.1986
USD;2004;9;1.22178
USD;2004;10;1.24897
USD;2004;11;1.29914
USD;2004;12;1.34068
USD;2005;1;1.31193
USD;2005;2;1.30143
USD;2005;3;1.32007
USD;2005;4;1.28
USD;2005;5;1.2694
USD;2005;6;1.21649
USD;2005;7;1.20372
USD;2005;8;1.22924
USD;2005;8;1.29379
USD;2005;9;1.22564
USD;2005;10;1.20145
USD;2005;11;1.17857
USD;2005;12;1.18561
USD;2006;1;1.21031
USD;2006;2;1.19384
USD;2006;3;1.202
USD;2006;4;1.234
USD;2006;5;1.27696
USD;2006;6;1.265
USD;2006;7;1.26837
USD;2006;8;1.28113
USD;2006;8;1.22712
USD;2006;9;1.27274
USD;2006;10;1.2611
USD;2006;11;1.28814
USD;2006;12;1.32128
USD;2007;1;1.29986
USD;2007;2;1.30742
USD;2007;3;1.32419
USD;2007;4;1.335
USD;2007;5;1.35113
USD;2007;6;1.34186
USD;2007;7;1.37156
USD;2007;8;1.36225
USD;2007;8;1.35162
USD;2007;9;1.38965
USD;2007;10;1.42275
USD;2007;11;1.46836
USD;2007;12;1.45704
USD;2008;1;1.47179
USD;2008;2;1.47484
USD;2008;3;1.55265
USD;2008;4;1.554
USD;2008;5;1.5557
USD;2008;6;1.55528
USD;2008;7;1.57697
USD;2008;8;1.49754
USD;2008;8;1.57505
USD;2008;9;1.43695
USD;2008;10;1.33221
USD;2008;11;1.27322
USD;2008;12;1.34494
USD;2009;1;1.32387
USD;2009;2;1.27847
USD;2009;3;1.30498
USD;2009;4;1.335
USD;2009;5;1.36504
USD;2009;6;1.40164
USD;2009;7;1.40877
USD;2009;8;1.4268
USD;2009;8;1.31903
USD;2009;9;1.45616
USD;2009;10;1.48125
